Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bundly Extra Data (product.metafields.bundly.extra_data),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Units sold (product.metafields.sales.units_sold),Age group (product.metafields.shopify.age-group),Allergen information (product.metafields.shopify.allergen-information),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dietary preferences (product.metafields.shopify.dietary-preferences),Dietary supplements (product.metafields.shopify.dietary-supplements),Dietary use (product.metafields.shopify.dietary-use),Flavor (product.metafields.shopify.flavor),Food supplement form (product.metafields.shopify.food-supplement-form),Ingredient category (product.metafields.shopify.ingredient-category),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Route of administration (product.metafields.shopify.route-of-administration),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Supplement health focus (product.metafields.shopify.supplement-health-focus),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-7-_2.webp?v=1774943280,2,Whey-Protein isolate (chocolate)-| cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate---Chocolate---Product-images---2.webp?v=1774943280,3,Whey-Protein isolate (chocolate)-| cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-6-_4.webp?v=1774943283,4,Whey-Protein isolate (chocolate)-| cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-5-_5.webp?v=1774943286,5,Whey-Protein isolate (chocolate)-| cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-8-_6.webp?v=1774943289,6,Whey-Protein isolate (chocolate)-| cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-4-_7.webp?v=1774943292,7,WheyProtein - Isolate (chocolate) - 3 | cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-3-_8.webp?v=1774943295,8,WheyProtein - isolate (chocolate)-2 | cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Whey-Isolate-Chocolate-Product-images-9-_9.webp?v=1774943298,9,whey protein - isolate (chocolate) -1 | cureforever.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridal-combo,Bridal Glow Essentials | The Pre-Wedding Glow Ritual,"<p><span>Your wedding glow shouldn’t come from filters or last-minute salon fixes. </span><span>It should come from deep nourishment, real repair, and inner radiance.</span></p>
<p><span>The Bridal Glow Essentials Combo is a powerful trio of Korean Marine Collagen, Liposomal Glutathione, and Biotin designed to support skin, hair, nails, and overall glow from within, so you look radiant not just on your wedding day, but in every picture after.</span></p>
<p><span>This is not optional. It's a non-negotiable part of pre-wedding preparation, supporting your glow from within, long before the makeup begins.</span></p>",CUREFOREVER,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Multivitamin Supplements,"","",true,Collagen Flavor,unflavored,product.metafields.shopify.flavor,,,,,,,'42248509259858,0.0,shopify,4998,continue,manual,3588.00,4288.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Glutathione-Biotin-1-879db89c-301b-4d59-8dbc-34757ed37424-_1.png?v=1774943301,1,Bridal Glow Essentials | The Pre-Wedding Glow Ritual CUREFOREVER,false,,,525,,adult,,,,,,,,,,,,,,,adults,,vitamin-a; vitamin-b; vitamin-c; vitamin-d3; vitamin-k2; magnesium,,,,unflavored; mango-citrus,,,,,,,female,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Glutathione-Biotin-1-_6.png?v=1774943311,g,,2841.00,true,,,active
bridal-combo,,,,,,,,,mango-citrus,,,,,,,,'42248509292626,0.0,shopify,4999,continue,manual,3702.00,4588.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Unflavoured-Product-imagesArtboard-4-_2.png?v=1774943304,2,Korean Marine Collagen | Boost Your Skin's Natural Glow CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Glutathione-Biotin-802548ef-bd39-4fca-ae4c-48af00ea8cff-_5.png?v=1774943308,g,,2931.00,,,,
bridal-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Screen1.webp?v=1774943304,3,"biotin tablets (primary)
best biotin supplement for hair growth(secondary)
use of biotin for hair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridal-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/6_7bb2c498-d38b-4342-b7ee-a9a319104db9.webp?v=1774943304,4,CureForever Glutathione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridal-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Glutathione-Biotin-802548ef-bd39-4fca-ae4c-48af00ea8cff-_5.png?v=1774943308,5,Bridal Glow Essentials | The Pre-Wedding Glow Ritual CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridal-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Glutathione-Biotin-1-_6.png?v=1774943311,6,Bridal Glow Essentials | The Pre-Wedding Glow Ritual CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-men,"Everyday Essentials for Men | Multivitamins, Shilajit + Ashwagandha, Testosterone Booster","<p><span>Fuel your body with the right daily essentials designed for <strong>men’s energy, strength, hormones, and performance</strong>. </span><span>This <strong>Everyday Essentials Combo for Men</strong> brings together a <strong>Multivitamin, Shilajit + Ashwagandha, and a Testosterone Booster</strong> to support stamina, muscle health, stress balance, and overall vitality, every single day. </span><span>Built for men who want to feel stronger, sharper, and more in control of their health.</span></p>",CUREFOREVER,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Multivitamin Supplements,"","",true,Title,Default Title,,,,,,,,'42248495104082,0.0,shopify,4991,continue,manual,2220.00,4030.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Multivitamin-men-Shilajit-Ashwagandha-Testosterone-booster-1-_1.png?v=1774943315,1,"Everyday Essentials for Men | Multivitamins, Shilajit + Ashwagandha, Testosterone Booster CUREFOREVER",false,,,525,,adult,,,,,,,,,,,,,,,adults,,vitamin-a; vitamin-b; vitamin-c; vitamin-d3; vitamin-k2; magnesium,,,,unflavored,,,,,,,female,,g,,1758.00,true,,,active
essentials-for-men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/BENEFITS_-1.webp?v=1774943315,2,"Cureforever Shilajit and Ashwagandha
best shilajit and ashwagandha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/2_7b8fed91-f959-4443-a388-8ef8963ce736.webp?v=1774943548,3,CureForever Testosterone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Multivitamin-men-2-_4.webp?v=1774943318,4,CureForever Multivitamin men ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-women,"Everyday Essentials for Women | Multivitamin, Multimineral, Vitamin D3+K2, Magnesium Glycinate","<p><span data-teams=""true"">Support your body, mood, and energy every single day with this thoughtfully curated <strong>Everyday Essentials Combo for Women</strong>. A powerful trio of <strong>Multivitamin, Vitamin D3 + K2MK7, and Chelated Magnesium</strong> designed to fill daily nutritional gaps, support immunity, hormones, bones, muscles, sleep, and overall wellbeing, gently and consistently, because real wellness starts with daily basics done right.</span></p>",CUREFOREVER ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Multivitamin Supplements,"","",true,Title,Default Title,,,,,,,,'42248491401298,0.0,shopify,4997,continue,manual,1593.00,2930.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Multivitamin-women-Vit-d3-k2-Magnesium-_1.png?v=1774943321,1,"Everyday Essentials for Women | Multivitamin, Multimineral, Vitamin D3+K2, Magnesium Glycinate CUREFOREVER",false,,,525,,adult,,,,,,,,,,,,,,,adults,,vitamin-a; vitamin-b; vitamin-c; vitamin-d3; vitamin-k2; magnesium,,,,unflavored,,,,,,,female,,g,,1261.00,true,,,active
essentials-for-women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/4-87b6c3f7-0b6b-49a8-8ab9-2f6fc896e18b-_2.webp?v=1774943324,2,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CMG-2-_3.png?v=1774943327,3,Chelated Magnesium Glycinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essentials-for-women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Multivitamin-Women-2.webp?v=1774943327,4,CureForever Multivitamin Women ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo","<p><span>Give your body the beauty and confidence it deserves. Our Korean Marine Collagen keeps your skin glowing, firm and youthful. Cuplift naturally supports breast shape, volume and hormonal balance. Collagen strengthens your skin, hair and joints, while Cuplift helps firm and enhance the bust naturally. A perfect duo made for women who want beauty and wellness, inside and out.</span></p>",CUREFOREVER ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Collagen,"","",true,Combo Type,Unflavoured Collagen + Cuplift Combo,,,,,,,,'42210333753426,300.0,shopify,4969,deny,manual,3059.00,4049.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-_1.png?v=1774943330,1,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",false,,,525,,adult,,,,,,,,,,,,,,,adults,,collagen; vitamin-c; vitamin-e,,,,unflavored; mango-citrus,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-1-_8.png?v=1774943352,g,,2755.00,true,,,active
glow-lift-combo,,,,,,,,,Mango Citrus Collagen + Cuplift Combo,,,,,,,,'42210333786194,300.0,shopify,4977,deny,manual,3176.00,4349.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-1-_2.png?v=1774943333,2,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-a-596dd5e4-8824-4e0d-aecd-17484f810565-_9.png?v=1774943356,g,,2847.00,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-2-_3.png?v=1774943336,3,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-3-_4.png?v=1774943339,4,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-4-_5.png?v=1774943342,5,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-4A-1-_6.png?v=1774943345,6,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-5-1-_7.png?v=1774943349,7,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-1-_8.png?v=1774943352,8,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-lift-combo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-Cuplift-a-596dd5e4-8824-4e0d-aecd-17484f810565-_9.png?v=1774943356,9,"Glow & Lift Combo | Korean Marine Collagen & Cuplift | Youthful, glowing skin + enhanced curves in one smart combo CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine","<p><span data-teams=""true"">Experience India’s most advanced Korean Marine Collagen, sustainably sourced from the deep Korean sea. Made with Hydrolyzed Type I &amp; III Collagen Peptides for faster absorption and real visible results. Supports glowing skin, strong hair &amp; nails, flexible joints, and a healthier you from the inside out.</span></p>",CUREFOREVER,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Collagen,"","",true,Title,Default Title,,,,,,,,CF28-MC,270.0,shopify,4951,continue,manual,1979.00,2499.00,true,true,,,,,'8908025278423,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Malaika_2.webp?v=1777381607,1,Malaika Holding Collagen,false,"CUREFOREVER - Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine ",Glow with Korean Marine Collagen powder stands out for its quality and taste. It blends smoothly in water and offers a delicious orange flavour in every scoop.,525,,adult,,,,,,,,,,,,,'27,,adults,,collagen; green-tea; vitamin-c; taurine,,,,mango-citrus,powder,,,,,,,,g,,1567.00,true,,,active
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen_mango_citrus.webp?v=1772706728,2,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-1A-8922fcff-e86e-42f0-aa62-6574cc522e1e-_2.png?v=1774943359,3,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-3A-_3.png?v=1774943362,4,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-2A-1-_4.png?v=1774943366,5,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-5A-_5.png?v=1774943369,6,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-4A-_6.png?v=1774943372,7,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine-collagen-mango-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Collagen-6A-_7.png?v=1774943375,8,"Korean Marine Collagen (Mango Citrus) | Vitamin C, Grape Seed, Green Tea & Taurine CUREFOREVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,Cureforever Cuplift - Enhance Your Natural Shape and confidence | 60 Capsules,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Looking to increase bust size and achieve fuller, firmer curves? Cuplift is a premium herbal solution designed for women who want natural breast size growth without surgery. These bust enhancement pills work gently and effectively to boost your confidence and feminine appeal.<br></p>",CUREFOREVER ,Health & Beauty > Health Care,"","cf-badge:Trending, urgency",true,Title,Default Title,,,,,,,,CF30,80.0,shopify,9787,continue,manual,1249.00,1850.00,true,true,,,,,'8908025278317,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Cup-lift-mockup1-_1.png?v=1774943378,1,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,false,Increase Bust Size Naturally with Cuplift | Natural Bust Enhancement,"Cuplift helps increase bust size naturally with herbal ingredients that support firmness, fullness and feminine confidence. Safe, effective and plant-based formula.",491,,adult,,,,,,,,,,,,,'122,,adults,,,,,,,,,,,,,,,g,,,true,,,active
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-1-_2.png?v=1774943381,2,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-3-_3.png?v=1774943384,3,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-2-_5.png?v=1774943390,4,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-5-_6.png?v=1774943393,5,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/CupLift-6-_7.png?v=1774943397,6,Cuplift – The Natural Way to Increase Bust Size and Enhance Your Curves CUREFOREVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Cuplift-Product-ImagesArtboard-6-_7.png?v=1776681423,7,"CUREFOREVER Cuplift | Natural Support for Bust Enhancement, Volume & Natural curves | 60 Capsules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuplift-capsules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0570/5705/0706/files/Cuplift-Product-ImagesArtboard-8-_8.png?v=1776681426,8,"CUREFOREVER Cuplift | Natural Support for Bust Enhancement, Volume & Natural curves | 60 Capsules",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
